rank,question,chunk_id,file_name,chunk_number,distance,chunk_text
1,How many days can employees work remotely?,remote_work_policy_chunk_1,remote_work_policy.txt,1,0.4702035188674927,Remote Work Policy Employees may work remotely up to three days per week with manager approval. Remote employees must be available during core business hours. Company data should only be accessed through approved secure systems. Employees are responsible for maintaining
2,How many days can employees work remotely?,company_policy_chunk_2,company_policy.txt,2,1.1285583972930908,for medical reasons. Employees should notify their manager as soon as possible. Unused vacation days may not be carried forward unless approved by HR.
3,How many days can employees work remotely?,company_policy_chunk_1,company_policy.txt,1,1.1462093591690063,Company Leave Policy Employees are eligible for paid time off after completing 90 days of employment. Full-time employees receive 15 days of paid vacation per year. Sick leave is available for medical reasons. Employees should notify their manager as soon
1,Can employees share passwords?,it_security_policy_chunk_1,it_security_policy.txt,1,0.668080747127533,IT Security Policy Employees must not share passwords with anyone. All company laptops must use multi-factor authentication. Confidential data should not be stored on personal devices. Suspicious emails should be reported to the IT security team immediately.
2,Can employees share passwords?,remote_work_policy_chunk_2,remote_work_policy.txt,2,1.0536913871765137,accessed through approved secure systems. Employees are responsible for maintaining a professional work environment.
3,Can employees share passwords?,remote_work_policy_chunk_1,remote_work_policy.txt,1,1.3142681121826172,Remote Work Policy Employees may work remotely up to three days per week with manager approval. Remote employees must be available during core business hours. Company data should only be accessed through approved secure systems. Employees are responsible for maintaining
1,How many vacation days do full-time employees receive?,company_policy_chunk_1,company_policy.txt,1,0.7094607353210449,Company Leave Policy Employees are eligible for paid time off after completing 90 days of employment. Full-time employees receive 15 days of paid vacation per year. Sick leave is available for medical reasons. Employees should notify their manager as soon
2,How many vacation days do full-time employees receive?,company_policy_chunk_2,company_policy.txt,2,0.8584357500076294,for medical reasons. Employees should notify their manager as soon as possible. Unused vacation days may not be carried forward unless approved by HR.
3,How many vacation days do full-time employees receive?,remote_work_policy_chunk_1,remote_work_policy.txt,1,1.23617684841156,Remote Work Policy Employees may work remotely up to three days per week with manager approval. Remote employees must be available during core business hours. Company data should only be accessed through approved secure systems. Employees are responsible for maintaining
1,Where should suspicious emails be reported?,it_security_policy_chunk_2,it_security_policy.txt,2,1.3186360597610474,reported to the IT security team immediately.
2,Where should suspicious emails be reported?,it_security_policy_chunk_1,it_security_policy.txt,1,1.4922789335250854,IT Security Policy Employees must not share passwords with anyone. All company laptops must use multi-factor authentication. Confidential data should not be stored on personal devices. Suspicious emails should be reported to the IT security team immediately.
3,Where should suspicious emails be reported?,remote_work_policy_chunk_2,remote_work_policy.txt,2,1.6993353366851807,accessed through approved secure systems. Employees are responsible for maintaining a professional work environment.
